iter	Passed	Remaining
929	78763	5928
930	78868	5845
931	78957	5760
932	79059	5677
933	79149	5592
934	79245	5509
935	79328	5424
936	79421	5339
937	79503	5255
938	79600	5171
939	79696	5086
940	79780	5002
941	79885	4918
942	79984	4834
943	80083	4750
944	80167	4665
945	80265	4581
946	80358	4497
947	80444	4412
948	80532	4327
949	80603	4242
950	80705	4158
951	80791	4073
952	80871	3988
953	80943	3902
954	81017	3817
955	81108	3733
956	81212	3649
957	81296	3564
958	81380	3479
959	81498	3395
960	81580	3310
961	81689	3226
962	81787	3142
963	81873	3057
964	81955	2972
965	82054	2888
966	82159	2803
967	82259	2719
968	82335	2634
969	82419	2549
970	82509	2464
971	82604	2379
972	82685	2294
973	82766	2209
974	82864	2124
975	82966	2040
976	83047	1955
977	83138	1870
978	83224	1785
979	83318	1700
980	83413	1615
981	83511	1530
982	83605	1445
983	83712	1361
984	83817	1276
985	83916	1191
986	84013	1106
987	84086	1021
988	84180	936
989	84284	851
990	84369	766
991	84469	681
992	84556	596
993	84637	510
994	84727	425
995	84812	340
996	84896	255
997	84974	170
998	85046	85
999	85129	0
