,Date,Stock_Close,Stock_Sum,Stock_Ratio,Stock_Start,Stock_High,Stock_Low,Stock_Vol,Stock_Money,Stock_Market,label
3205,2016-04-29,24900.0,-400.0,-1.58,25200.0,25340.0,24840.0,325078.0,406000000000.0,181000000000000.0,1.0
3206,2016-05-02,25000.0,100.0,0.4,24940.0,25240.0,24900.0,140552.0,176000000000.0,179000000000000.0,1.0
3207,2016-05-03,25220.0,220.0,0.88,25340.0,25400.0,25120.0,158066.0,200000000000.0,180000000000000.0,1.0
3208,2016-05-04,25800.0,580.0,2.3,25440.0,25800.0,25240.0,294055.0,375000000000.0,184000000000000.0,1.0
3209,2016-05-09,25980.0,180.0,0.7,25800.0,26000.0,25700.0,312894.0,405000000000.0,186000000000000.0,0.0
3210,2016-05-10,25920.0,-60.0,-0.23,25980.0,26000.0,25760.0,171191.0,222000000000.0,185000000000000.0,0.0
3211,2016-05-11,25840.0,-80.0,-0.31,25920.0,25980.0,25740.0,176688.0,228000000000.0,185000000000000.0,0.0
3212,2016-05-12,25620.0,-220.0,-0.85,25840.0,25840.0,25500.0,152302.0,195000000000.0,183000000000000.0,0.0
3213,2016-05-13,25060.0,-560.0,-2.19,25620.0,25620.0,25020.0,245698.0,309000000000.0,179000000000000.0,0.0
3214,2016-05-16,24960.0,-100.0,-0.4,25060.0,25260.0,24940.0,234403.0,294000000000.0,178000000000000.0,1.0
3215,2016-05-17,25280.0,320.0,1.28,24980.0,25300.0,24980.0,183671.0,231000000000.0,181000000000000.0,1.0
3216,2016-05-18,25360.0,80.0,0.32,25280.0,25420.0,25100.0,183392.0,232000000000.0,181000000000000.0,1.0
3217,2016-05-19,25400.0,40.0,0.16,25360.0,25540.0,25320.0,200249.0,254000000000.0,182000000000000.0,0.0
3218,2016-05-20,25380.0,-20.0,-0.08,25400.0,25600.0,25380.0,159211.0,203000000000.0,181000000000000.0,1.0
3219,2016-05-23,25720.0,340.0,1.34,25380.0,25720.0,25380.0,162251.0,207000000000.0,184000000000000.0,0.0
3220,2016-05-24,25420.0,-300.0,-1.17,25720.0,25780.0,25360.0,208692.0,266000000000.0,182000000000000.0,1.0
3221,2016-05-25,25900.0,480.0,1.89,25660.0,25960.0,25480.0,237255.0,306000000000.0,185000000000000.0,1.0
3222,2016-05-26,25920.0,20.0,0.08,25980.0,26060.0,25900.0,253073.0,329000000000.0,185000000000000.0,0.0
3223,2016-05-27,25640.0,-280.0,-1.08,26000.0,26020.0,25460.0,274891.0,354000000000.0,183000000000000.0,1.0
3224,2016-05-31,25840.0,240.0,0.94,25600.0,26000.0,25360.0,1250554.0,1610000000000.0,185000000000000.0,1.0
3225,2016-06-01,26660.0,820.0,3.17,25960.0,26820.0,25900.0,470080.0,623000000000.0,191000000000000.0,1.0
3226,2016-06-02,27300.0,640.0,2.4,27000.0,27440.0,26920.0,476139.0,647000000000.0,195000000000000.0,1.0
3227,2016-06-03,27540.0,240.0,0.88,27400.0,27580.0,27280.0,341324.0,468000000000.0,197000000000000.0,1.0
3228,2016-06-07,27960.0,420.0,1.53,27720.0,28040.0,27600.0,462843.0,646000000000.0,200000000000000.0,1.0
3229,2016-06-08,28120.0,160.0,0.57,28380.0,28380.0,27780.0,376162.0,527000000000.0,201000000000000.0,1.0
